xml_path,image_path,gt_text,pred_text,gt_bbox,pred_bbox,iou,det_conf,text_conf,bbox_match,text_exact,e2e_exact,cer
data_prepared/indian_lp\0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.xml,data_prepared/indian_lp\0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.jpeg,KA19TR02,KA19TR02,"[140, 210, 339, 260]","[122, 204, 356, 263]",0.720701,0.874853,0.949793,1,1,1,0.0
data_prepared/indian_lp\00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.xml,data_prepared/indian_lp\00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.jpg,TN21AT0492,TN21BT9492,"[184, 572, 292, 648]","[172, 559, 304, 660]",0.615662,0.779575,0.848162,1,0,0,0.2
data_prepared/indian_lp\018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.xml,data_prepared/indian_lp\018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.jpg,RJ27TC0530,RJ27TC0530,"[327, 202, 399, 227]","[322, 203, 404, 227]",0.847059,0.809134,0.972446,1,1,1,0.0
data_prepared/indian_lp\03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.xml,data_prepared/indian_lp\03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.jpeg,MH20CS9817,MH20CS9817,"[185, 290, 374, 339]","[166, 284, 392, 347]",0.650442,0.86737,0.955036,1,1,1,0.0
data_prepared/indian_lp\0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.xml,data_prepared/indian_lp\0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.jpeg,KL05AK3300,KL05AK3300,"[335, 313, 453, 347]","[322, 303, 467, 355]",0.532095,0.834956,0.945124,1,1,1,0.0
data_prepared/indian_lp\07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.xml,data_prepared/indian_lp\07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.jpeg,MP09CP9052,MP09CP9052,"[205, 290, 335, 353]","[191, 280, 347, 360]",0.65625,0.837554,0.953649,1,1,1,0.0
data_prepared/indian_lp\074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.xml,data_prepared/indian_lp\074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.jpeg,TN43J0158,TN43J1158,"[142, 148, 316, 230]","[127, 139, 325, 239]",0.720606,0.879787,0.796268,1,0,0,0.111111
data_prepared/indian_lp\07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.xml,data_prepared/indian_lp\07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.jpg,KA18P2987,KA18P2987,"[1301, 1715, 1814, 1876]","[1261, 1685, 1852, 1883]",0.705814,0.813295,0.962229,1,1,1,0.0
data_prepared/indian_lp\07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.xml,data_prepared/indian_lp\07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.jpeg,MH12JC2813,MH12JC2813,"[158, 204, 365, 254]","[135, 196, 389, 265]",0.590551,0.875825,0.96165,1,1,1,0.0
data_prepared/indian_lp\07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.xml,data_prepared/indian_lp\07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpeg,MH14DT8831,MH14DT8831,"[28, 29, 342, 106]","[3, 20, 369, 114]",0.702767,0.900634,0.955811,1,1,1,0.0
data_prepared/indian_lp\07f6d77a-652e-4885-8520-6d405d2f712f___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_840539077_1_1080x720_nissan-terrano-xl-d-thp-110-ps-2016-diesel-.xml,data_prepared/indian_lp\07f6d77a-652e-4885-8520-6d405d2f712f___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_840539077_1_1080x720_nissan-terrano-xl-d-thp-110-ps-2016-diesel-.jpg,UP50AS4535,UP50AS4535,"[398, 427, 617, 487]","[382, 422, 635, 498]",0.683378,0.81966,0.961208,1,1,1,0.0
data_prepared/indian_lp\0850c175-0b8d-47f2-801c-e29f1dbdb367___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_571.xml,data_prepared/indian_lp\0850c175-0b8d-47f2-801c-e29f1dbdb367___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_571.jpg,RJ27TC0530,RJ27TC0530,"[374, 275, 596, 382]","[352, 265, 616, 394]",0.697498,0.827031,0.926651,1,1,1,0.0
data_prepared/indian_lp\092c497e-623d-499d-822a-4b01c657389b___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-left-rim.xml,data_prepared/indian_lp\092c497e-623d-499d-822a-4b01c657389b___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-left-rim.jpg,KL63C8800,KL63C8800,"[111, 164, 172, 183]","[104, 160, 179, 185]",0.618133,0.838628,0.941632,1,1,1,0.0
data_prepared/indian_lp\0a0d1748-48cd-4114-90cb-b5baf0b3cbe4___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_147274518_15141875973_large.xml,data_prepared/indian_lp\0a0d1748-48cd-4114-90cb-b5baf0b3cbe4___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_147274518_15141875973_large.jpg,MH46X9996,MH46X9996,"[189, 321, 329, 353]","[177, 315, 342, 359]",0.61708,0.85815,0.95886,1,1,1,0.0
data_prepared/indian_lp\0a720df9-e4ef-4e44-8c13-b39b9be8444d___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-6.xml,data_prepared/indian_lp\0a720df9-e4ef-4e44-8c13-b39b9be8444d___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-6.jpg,TN21AT0480,TN21AT0480,"[101, 323, 242, 374]","[85, 314, 260, 380]",0.622597,0.837029,0.953112,1,1,1,0.0
