xml_path,image_path,status,iou,gt_text,pred_text,det_conf,text_conf,cer,exact
data_prepared/indian_lp\0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.xml,data_prepared/indian_lp\0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.jpeg,matched,0.720701144429958,KA19TR02,KA1TR021,0.8748529553413391,0.5570499524474144,0.25,0
data_prepared/indian_lp\00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.xml,data_prepared/indian_lp\00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.jpg,matched,0.6156615661566157,TN21AT0492,AN17CS14,0.7795754671096802,0.5435771085321903,0.8,0
data_prepared/indian_lp\018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.xml,data_prepared/indian_lp\018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.jpg,matched,0.8470588235294118,RJ27TC0530,R27TC0530,0.8091336488723755,0.8747444351514181,0.1,0
data_prepared/indian_lp\03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.xml,data_prepared/indian_lp\03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.jpeg,matched,0.6504424778761062,MH20CS9817,MH20CS9817,0.8673696517944336,0.9333160102367402,0.0,1
data_prepared/indian_lp\0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.xml,data_prepared/indian_lp\0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.jpeg,matched,0.5320954907161803,KL05AK3300,KL05AK330,0.8349564671516418,0.9145049651463827,0.1,0
data_prepared/indian_lp\07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.xml,data_prepared/indian_lp\07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.jpeg,matched,0.65625,MP09CP9052,HP01CP902,0.8375544548034668,0.7680684791670905,0.3,0
data_prepared/indian_lp\074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.xml,data_prepared/indian_lp\074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.jpeg,matched,0.7206060606060606,TN43J0158,LJ1158,0.8797874450683594,0.5297344898184141,0.5555555555555556,0
data_prepared/indian_lp\07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.xml,data_prepared/indian_lp\07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.jpg,matched,0.7058144900784494,KA18P2987,KA18P2987,0.8132945895195007,0.9815685020552741,0.0,1
data_prepared/indian_lp\07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.xml,data_prepared/indian_lp\07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.jpeg,matched,0.5905511811023622,MH12JC2813,MH12JC2813,0.8758251070976257,0.9929606735706329,0.0,1
data_prepared/indian_lp\07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.xml,data_prepared/indian_lp\07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpeg,matched,0.7027671201023137,MH14DT8831,MH14DT8831,0.900634229183197,0.9853459060192108,0.0,1
